
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.019718392   0.99287827    0.016315184
0.019840867   0.99283376    0.016501582
0.019963341   0.99278925    0.016689051
0.020085816   0.99274472    0.016877592
0.02020829   0.99270019    0.017067202
0.020330765   0.99265565    0.017257881
0.020453239   0.9926111    0.017449628
0.020575714   0.99256654    0.017642441
0.020698188   0.99252198    0.017836319
0.020820663   0.9924774    0.018031261
0.020943137   0.99243281    0.018227266
0.021065612   0.99238822    0.018424332
0.021188086   0.99234362    0.018622458
0.021310561   0.992299    0.018821644
0.021433035   0.99225438    0.019021887
0.02155551   0.99220975    0.019223186
0.021677984   0.9921651    0.019425541
0.021800459   0.99212045    0.01962895
0.021922933   0.99207579    0.019833411
0.022045408   0.99203112    0.020038924
0.022167882   0.99198643    0.020245486
0.022290357   0.99194174    0.020453098
0.022412831   0.99189703    0.020661756
0.022535306   0.99185232    0.020871461
0.02265778   0.99180759    0.02108221
0.022780255   0.99176286    0.021294003
0.022902729   0.99171811    0.021506837
0.023025204   0.99167335    0.021720712
0.023147678   0.99162858    0.021935626
0.023270153   0.9915838    0.022151578
0.023392627   0.99153901    0.022368567
0.023515102   0.99149421    0.02258659
0.023637576   0.99144939    0.022805647
0.023760051   0.99140456    0.023025736
0.023882525   0.99135972    0.023246856
0.024004999   0.99131487    0.023469005
0.024127474   0.99127001    0.023692182
0.024249948   0.99122513    0.023916385
0.024372423   0.99118024    0.024141613
0.024494897   0.99113534    0.024367864
0.024617372   0.99109043    0.024595138
0.024739846   0.9910455    0.024823432
0.024862321   0.99100056    0.025052745
0.024984795   0.99095561    0.025283075
0.02510727   0.99091064    0.025514422
0.025229744   0.99086566    0.025746782
0.025352219   0.99082067    0.025980156
0.025474693   0.99077567    0.026214541
0.025597168   0.99073065    0.026449936
0.025719642   0.99068561    0.02668634
0.025842117   0.99064056    0.02692375
0.025964591   0.9905955    0.027162165
0.026087066   0.99055043    0.027401584
0.02620954   0.99050534    0.027642005
0.026332015   0.99046023    0.027883427
0.026454489   0.99041511    0.028125847
0.026576964   0.99036998    0.028369265
0.026699438   0.99032483    0.028613679
0.026821913   0.99027967    0.028859087
0.026944387   0.99023449    0.029105487
0.027066862   0.9901893    0.029352878
0.027189336   0.99014409    0.029601259
0.027311811   0.99009886    0.029850627
0.027434285   0.99005362    0.030100981
0.02755676   0.99000837    0.03035232
0.027679234   0.98996309    0.030604641
0.027801709   0.98991781    0.030857943
0.027924183   0.9898725    0.031112225
0.028046658   0.98982718    0.031367485
0.028169132   0.98978185    0.03162372
0.028291607   0.98973649    0.03188093
0.028414081   0.98969113    0.032139113
0.028536556   0.98964574    0.032398267
0.02865903   0.98960034    0.03265839
0.028781504   0.98955492    0.032919481
0.028903979   0.98950948    0.033181537
0.029026453   0.98946402    0.033444558
0.029148928   0.98941855    0.033708541
0.029271402   0.98937306    0.033973485
0.029393877   0.98932756    0.034239388
0.029516351   0.98928203    0.034506249
0.029638826   0.98923649    0.034774064
0.0297613   0.98919093    0.035042834
0.029883775   0.98914535    0.035312556
0.030006249   0.98909975    0.035583227
0.030128724   0.98905414    0.035854848
0.030251198   0.9890085    0.036127415
0.030373673   0.98896285    0.036400927
0.030496147   0.98891718    0.036675382
0.030618622   0.98887149    0.036950778
0.030741096   0.98882578    0.037227114
0.030863571   0.98878005    0.037504388
0.030986045   0.9887343    0.037782598
0.03110852   0.98868853    0.038061742
0.031230994   0.98864275    0.038341818
0.031353469   0.98859694    0.038622825
0.031475943   0.98855111    0.03890476
0.031598418   0.98850527    0.039187622
0.031720892   0.9884594    0.039471409
0.031843367   0.98841351    0.03975612
0.031965841   0.9883676    0.040041751
0.032088316   0.98832168    0.040328303
0.03221079   0.98827573    0.040615771
0.032333265   0.98822976    0.040904156
0.032455739   0.98818377    0.041193454
0.032578214   0.98813776    0.041483664
0.032700688   0.98809172    0.041774785
0.032823163   0.98804567    0.042066813
0.032945637   0.98799959    0.042359748
0.033068112   0.9879535    0.042653587
0.033190586   0.98790738    0.042948329
0.033313061   0.98786124    0.043243971
0.033435535   0.98781507    0.043540512
0.033558009   0.98776889    0.04383795
0.033680484   0.98772268    0.044136283
0.033802958   0.98767645    0.044435509
0.033925433   0.9876302    0.044735625
0.034047907   0.98758393    0.045036631
0.034170382   0.98753763    0.045338524
0.034292856   0.98749131    0.045641302
0.034415331   0.98744497    0.045944963
0.034537805   0.9873986    0.046249506
0.03466028   0.98735221    0.046554928
0.034782754   0.9873058    0.046861227
0.034905229   0.98725936    0.047168402
0.035027703   0.9872129    0.04747645
0.035150178   0.98716642    0.047785369
0.035272652   0.98711991    0.048095158
0.035395127   0.98707338    0.048405814
0.035517601   0.98702682    0.048717336
0.035640076   0.98698024    0.049029721
0.03576255   0.98693364    0.049342968
0.035885025   0.98688701    0.049657074
0.036007499   0.98684035    0.049972038
0.036129974   0.98679368    0.050287857
