
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1.0000093
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.01971841   0.99287814    0.016315196
0.019840885   0.99283314    0.016501596
0.019963361   0.99278933    0.016689064
0.020085836   0.99274516    0.016877605
0.02020831   0.9927001    0.017067214
0.020330785   0.99265552    0.017257893
0.020453259   0.99261105    0.01744964
0.020575734   0.99256676    0.017642453
0.020698208   0.99252182    0.017836334
0.020820683   0.99247754    0.018031273
0.020943157   0.99243271    0.018227275
0.021065634   0.99238795    0.018424347
0.021188108   0.99234396    0.018622471
0.021310583   0.99229902    0.018821655
0.021433057   0.99225456    0.019021904
0.021555532   0.99220997    0.0192232
0.021678006   0.99216527    0.019425552
0.021800481   0.99212039    0.019628964
0.021922955   0.9920758    0.019833427
0.022045432   0.99203116    0.020038942
0.022167906   0.99198616    0.020245504
0.022290381   0.99194133    0.020453108
0.022412855   0.99189699    0.020661771
0.02253533   0.99185205    0.020871473
0.022657804   0.99180758    0.021082221
0.022780279   0.99176282    0.021294018
0.022902753   0.99171817    0.021506852
0.02302523   0.99167329    0.021720724
0.023147704   0.99162847    0.021935642
0.023270179   0.99158341    0.022151591
0.023392653   0.99153942    0.022368576
0.023515128   0.99149406    0.022586605
0.023637602   0.99144948    0.022805655
0.023760077   0.99140471    0.023025747
0.023882551   0.99136001    0.023246869
0.024005027   0.99131465    0.023469018
0.024127502   0.99127024    0.023692191
0.024249977   0.99122518    0.023916397
0.024372451   0.99118012    0.024141626
0.024494926   0.99113542    0.024367871
0.0246174   0.99109048    0.024595149
0.024739875   0.99104524    0.02482344
0.024862349   0.99100071    0.025052758
0.024984825   0.99095541    0.025283083
0.0251073   0.99091071    0.025514428
0.025229774   0.99086535    0.025746794
0.025352249   0.99082023    0.025980169
0.025474723   0.99077541    0.026214549
0.025597198   0.99073035    0.026449943
0.025719672   0.9906857    0.026686354
0.025842147   0.9906404    0.026923764
0.025964623   0.99059558    0.027162179
0.026087098   0.99055034    0.027401596
0.026209572   0.99050581    0.027642021
0.026332047   0.99046046    0.02788344
0.026454521   0.99041575    0.028125864
0.026576996   0.99036974    0.028369281
0.02669947   0.99032533    0.028613692
0.026821945   0.99027979    0.028859094
0.026944421   0.99023438    0.029105501
0.027066896   0.99018919    0.029352888
0.02718937   0.99014431    0.029601272
0.027311845   0.99009836    0.029850641
0.027434319   0.99005342    0.030100996
0.027556794   0.99000823    0.030352339
0.027679268   0.98996264    0.030604653
0.027801743   0.98991793    0.030857962
0.027924219   0.98987263    0.031112242
0.028046694   0.98982745    0.031367499
0.028169168   0.98978174    0.031623729
0.028291643   0.98973638    0.031880945
0.028414117   0.98969102    0.03213913
0.028536592   0.98964524    0.032398272
0.028659066   0.98960066    0.032658409
0.028781541   0.98955482    0.032919496
0.028904017   0.98950982    0.033181548
0.029026492   0.98946369    0.033444565
0.029148966   0.98941851    0.033708557
0.029271441   0.98937297    0.033973504
0.029393915   0.98932725    0.034239404
0.02951639   0.98928219    0.034506261
0.029638864   0.98923671    0.034774076
